BEAM        RA(J2000)  DEC(J2000)
	    
PLMC031_06  04:34:01.3 -66:18:58.3
PLMC031_07  04:36:28.1 -65:53:57.9
PLMC031_08  04:38:50.1 -65:28:26.6
PLMC031_09  04:46:00.9 -65:53:06.8
PLMC031_10  04:46:16.6 -66:43:50.5
PLMC031_11  04:38:52.0 -67:09:57.2
PLMC031_12  04:31:26.3 -66:44:00.3
PLMC031_13  04:31:40.1 -65:53:16.3
PLMC032_01  04:36:34.0 -66:17:05.9
PLMC032_02  04:31:44.7 -66:16:51.5
PLMC032_03  04:34:11.4 -65:51:51.5
PLMC032_04  04:38:55.9 -65:51:49.0
PLMC032_05  04:41:23.2 -66:16:46.6
PLMC032_06  04:39:01.5 -66:42:11.8
PLMC032_07  04:34:07.2 -66:42:14.3
PLMC032_08  04:29:09.8 -66:41:53.2
PLMC032_09  04:29:23.8 -65:51:09.2
PLMC032_10  04:36:33.3 -65:26:20.6
PLMC032_11  04:43:43.5 -65:51:01.9
PLMC032_12  04:43:58.9 -66:41:45.6
PLMC032_13  04:36:34.7 -67:07:51.2
PLMC053_01  04:56:57.0 -68:44:54.0
PLMC053_02  04:54:18.7 -68:19:40.5
PLMC053_03  04:59:33.7 -68:19:35.4
PLMC053_04  05:02:17.9 -68:44:29.8
PLMC053_05  04:59:41.4 -69:09:57.0
PLMC053_06  04:54:14.3 -69:10:03.3
PLMC053_07  04:51:36.0 -68:44:40.3
PLMC053_08  04:49:00.3 -68:18:56.6
PLMC053_09  04:56:55.4 -67:54:08.8
PLMC053_10  05:04:51.0 -68:18:41.2
PLMC053_11  05:05:12.1 -69:09:24.4
PLMC053_12  04:56:58.7 -69:35:39.3
PLMC053_13  04:48:43.5 -69:09:40.5
PLMC054_01  04:59:31.0 -68:45:50.9
PLMC054_02  04:56:52.7 -68:20:36.9
PLMC054_03  05:02:07.9 -68:20:32.7
PLMC054_04  05:04:52.2 -68:45:27.6
PLMC054_05  05:02:15.4 -69:10:55.4
PLMC054_06  04:56:48.0 -69:10:59.8
PLMC054_07  04:54:09.8 -68:45:36.3
PLMC054_08  04:51:34.1 -68:19:52.2
PLMC054_09  04:59:29.7 -67:55:05.7
PLMC054_10  05:07:26.5 -68:19:39.4
PLMC054_11  05:07:46.3 -69:10:22.6
PLMC054_12  04:59:32.5 -69:36:36.2
PLMC054_13  04:51:17.0 -69:10:36.0
PLMC055_01  04:58:23.0 -68:33:17.9
PLMC055_02  05:00:58.5 -68:07:59.7
PLMC055_03  05:03:41.2 -68:32:54.8
PLMC055_04  05:01:05.8 -68:58:22.4
PLMC055_05  04:55:41.5 -68:58:26.7
PLMC055_06  04:53:04.8 -68:33:03.3
PLMC055_07  04:55:46.1 -68:08:03.9
PLMC055_08  04:58:21.7 -67:42:32.6
PLMC055_09  05:06:14.2 -68:07:06.9
PLMC055_10  05:06:33.6 -68:57:50.2
PLMC055_11  04:58:24.4 -69:24:03.1
PLMC055_12  04:50:13.7 -68:58:03.2
PLMC055_13  04:50:30.4 -68:07:19.4
PLMC056_01  04:55:50.0 -68:32:17.0
PLMC056_02  04:50:32.0 -68:32:02.7
PLMC056_03  04:53:13.2 -68:07:03.1
PLMC056_04  04:58:25.4 -68:06:58.8
PLMC056_05  05:01:07.9 -68:31:53.8
PLMC056_06  04:58:32.7 -68:57:21.5
PLMC056_07  04:53:08.7 -68:57:25.9
PLMC056_08  04:47:41.1 -68:57:02.7
PLMC056_09  04:47:57.7 -68:06:18.9
PLMC056_10  04:55:48.7 -67:41:31.8
PLMC056_11  05:03:40.8 -68:06:05.8
PLMC056_12  05:04:00.2 -68:56:49.2
PLMC056_13  04:55:51.5 -69:23:02.3
PLMC057_01  05:01:05.0 -70:23:30.9
PLMC057_02  04:58:14.3 -69:58:16.9
PLMC057_03  05:03:54.0 -69:58:11.9
PLMC057_04  05:06:51.6 -70:23:05.1
PLMC057_05  05:04:02.9 -70:48:34.5
PLMC057_06  04:58:08.9 -70:48:39.7
PLMC057_07  04:55:18.3 -70:23:15.3
PLMC057_08  04:52:31.0 -69:57:29.6
PLMC057_09  05:01:03.3 -69:32:45.7
PLMC057_10  05:09:37.2 -69:57:14.4
PLMC057_11  05:10:00.6 -70:47:57.3
PLMC057_12  05:01:06.8 -71:14:16.2
PLMC057_13  04:52:11.1 -70:48:13.1
PLMC058_01  05:03:52.0 -70:24:14.1
PLMC058_02  05:06:41.1 -69:58:55.1
PLMC058_03  05:09:38.8 -70:23:48.3
PLMC058_04  05:06:50.0 -70:49:17.7
PLMC058_05  05:00:55.8 -70:49:22.8
PLMC058_06  04:58:05.1 -70:23:58.3
PLMC058_07  05:01:01.2 -69:58:59.0
PLMC058_08  05:03:50.3 -69:33:28.8
PLMC058_09  05:12:24.5 -69:57:57.7
PLMC058_10  05:12:47.9 -70:48:40.6
PLMC058_11  05:03:53.8 -71:14:59.3
PLMC058_12  04:54:57.7 -70:48:55.0
PLMC058_13  04:55:17.7 -69:58:12.4
PLMC060c_01 04:59:50.0 -70:11:00.0
PLMC060c_02 04:54:07.8 -70:10:45.5
PLMC060c_03 04:57:01.9 -69:45:46.0
PLMC060c_04 05:02:38.3 -69:45:42.0
PLMC060c_05 05:05:34.1 -70:10:35.4
PLMC060c_06 05:02:47.0 -70:36:04.6
PLMC060c_07 04:56:56.7 -70:36:09.8
PLMC060c_08 04:51:02.6 -70:35:43.6
PLMC060c_09 04:51:22.1 -69:45:00.0
PLMC060c_10 04:59:49.3 -69:20:15.7
PLMC060c_11 05:08:18.1 -69:44:45.1
PLMC060c_12 05:08:41.1 -70:35:28.0
PLMC060c_13 04:59:52.8 -71:01:46.2
PLMC060d_01 04:59:50.0 -70:11:00.0
PLMC060d_02 05:02:38.4 -69:45:42.3
PLMC060d_03 05:05:34.1 -70:10:36.1
PLMC060d_04 05:02:46.9 -70:36:04.0
PLMC060d_05 04:56:56.6 -70:36:09.4
PLMC060d_06 04:54:07.8 -70:10:44.8
PLMC060d_07 04:57:02.1 -69:45:46.6
PLMC060d_08 04:59:49.6 -69:20:15.7
PLMC060d_09 05:08:18.2 -69:44:46.1
PLMC060d_10 05:08:41.0 -70:35:29.1
PLMC060d_11 04:59:52.6 -71:01:46.2
PLMC060d_12 04:51:02.4 -70:35:42.5
PLMC060d_13 04:51:22.2 -69:44:59.0
PLMC061_01  05:05:56.0 -72:01:41.0
PLMC061_02  05:02:50.6 -71:36:26.7
PLMC061_03  05:08:59.3 -71:36:21.2
PLMC061_04  05:12:13.0 -72:01:12.6
PLMC061_05  05:09:10.0 -72:26:43.8
PLMC061_06  05:02:44.2 -72:26:49.5
PLMC061_07  04:59:39.0 -72:01:23.9
PLMC061_08  04:56:38.0 -71:35:35.0
PLMC061_09  05:05:53.9 -71:10:55.8
PLMC061_10  05:15:11.8 -71:35:19.3
PLMC061_11  05:15:39.8 -72:26:01.7
PLMC061_12  05:05:58.2 -72:52:26.3
PLMC061_13  04:56:14.2 -72:26:19.1
PLMC069_01  05:20:40.0 -70:49:24.9
PLMC069_02  05:17:39.8 -71:14:33.2
PLMC069_03  05:14:45.8 -70:49:08.1
PLMC069_04  05:17:48.7 -70:24:10.4
PLMC069_05  05:23:32.6 -70:24:06.1
PLMC069_06  05:26:34.1 -70:48:59.2
PLMC069_07  05:23:47.7 -71:14:28.7
PLMC069_08  05:20:41.6 -71:40:10.1
PLMC069_09  05:11:34.1 -71:14:04.8
PLMC069_10  05:11:55.2 -70:23:21.4
PLMC069_11  05:20:38.4 -69:58:39.7
PLMC069_12  05:29:23.0 -70:23:08.3
PLMC069_13  05:29:47.3 -71:13:51.1
PLMC070_01  05:23:30.0 -70:49:01.0
PLMC070_02  05:20:30.0 -71:14:09.4
PLMC070_03  05:17:35.9 -70:48:44.6
PLMC070_04  05:20:35.7 -70:23:46.7
PLMC070_05  05:26:22.5 -70:23:41.9
PLMC070_06  05:29:24.0 -70:48:34.9
PLMC070_07  05:26:31.7 -71:14:04.5
PLMC070_08  05:23:31.7 -71:39:46.2
PLMC070_09  05:14:24.4 -71:13:41.5
PLMC070_10  05:14:45.3 -70:22:58.1
PLMC070_11  05:23:28.3 -69:58:15.7
PLMC070_12  05:32:12.8 -70:22:43.8
PLMC070_13  05:32:37.2 -71:13:26.6
PLMC071_01  05:22:01.0 -70:37:06.9
PLMC071_02  05:16:10.4 -70:36:50.3
PLMC071_03  05:19:08.5 -70:11:52.5
PLMC071_04  05:24:51.9 -70:11:48.2
PLMC071_05  05:27:51.5 -70:36:41.5
PLMC071_06  05:25:00.8 -71:02:10.7
PLMC071_07  05:19:02.7 -71:02:15.2
PLMC071_08  05:13:00.8 -71:01:47.3
PLMC071_09  05:13:21.5 -70:11:03.9
PLMC071_10  05:21:59.5 -69:46:21.7
PLMC071_11  05:30:38.9 -70:10:50.9
PLMC071_12  05:31:02.6 -71:01:33.8
PLMC071_13  05:22:02.6 -71:27:52.1
PLMC072_01  05:19:12.0 -70:37:25.9
PLMC072_02  05:13:21.3 -70:37:10.1
PLMC072_03  05:16:19.3 -70:12:11.9
PLMC072_04  05:22:02.8 -70:12:06.7
PLMC072_05  05:25:02.6 -70:36:59.6
PLMC072_06  05:22:12.0 -71:02:29.3
PLMC072_07  05:16:13.8 -71:02:34.6
PLMC072_08  05:10:11.8 -71:02:07.6
PLMC072_09  05:10:32.2 -70:11:24.1
PLMC072_10  05:19:10.2 -69:46:40.6
PLMC072_11  05:27:49.8 -70:11:08.6
PLMC072_12  05:28:13.9 -71:01:51.4
PLMC072_13  05:19:13.9 -71:28:11.1
PLMC073_01  05:15:00.0 -69:12:42.9
PLMC073_02  05:12:13.7 -69:37:52.1
PLMC073_03  05:09:32.2 -69:12:28.8
